ManHinh,Ram,CPU,GPU,TrongLuong,HDD/SSD,DungLuong,Gia,Class,Product
0.722826087,0.125,0.638888889,0.226519337,0.291489362,0.35,0.0625,0.219657321,ChuyenNghiep,MacBook Pro
0.722826087,0.125,0.5,0.138121547,0.285106383,0.35,0.0625,0.147391376,VanPhong,Macbook Air
0.847826087,0.125,0.694444444,0.08839779,0.395744681,0.35,0.125,0.09427775,PhoThong,250 G6
0.836956522,0.25,0.75,0.552486188,0.389361702,0.5,0.25,0.416043614,ChuyenNghiep,MacBook Pro
0.722826087,0.125,0.861111111,0.226519337,0.291489362,0.35,0.125,0.29572061,ChuyenNghiep,MacBook Pro
0.847826087,0.0625,0.833333333,0.132596685,0.446808511,0.15,0.25,0.065584522,PhoThong,Aspire 3
0.836956522,0.25,0.611111111,0.226519337,0.434042553,0.35,0.125,0.350872274,ChuyenNghiep,MacBook Pro
0.722826087,0.125,0.5,0.138121547,0.285106383,0.35,0.125,0.189981964,VanPhong,Macbook Air
0.760869565,0.25,0.5,0.325966851,0.276595745,0.5,0.25,0.245122151,VanPhong,ZenBook UX430UN
0.760869565,0.125,0.444444444,0.165745856,0.340425532,0.35,0.125,0.126250205,VanPhong,Swift 3
0.847826087,0.0625,0.694444444,0.08839779,0.395744681,0.15,0.25,0.064584358,PhoThong,250 G6
0.847826087,0.0625,0.555555556,0.127071823,0.395744681,0.15,0.25,0.056565011,PhoThong,250 G6
0.836956522,0.25,0.777777778,0.430939227,0.389361702,0.35,0.125,0.400060666,ChuyenNghiep,MacBook Pro
0.847826087,0.0625,0.555555556,0.149171271,0.468085106,0.35,0.125,0.081800295,PhoThong,Inspiron 3567
0.652173913,0.125,0.333333333,0.132596685,0.195744681,0.35,0.125,0.206984752,VanPhong,MacBook 12
0.722826087,0.125,0.638888889,0.226519337,0.291489362,0.35,0.125,0.24898344,ChuyenNghiep,MacBook Pro
0.847826087,0.125,0.75,0.149171271,0.468085106,0.35,0.125,0.122151172,PhoThong,Inspiron 3567
0.836956522,0.25,0.805555556,0.480662983,0.389361702,0.5,0.25,0.46860141,ChuyenNghiep,MacBook Pro
0.847826087,0.125,0.666666667,0.209944751,0.468085106,0.25,0.5,0.081816691,PhoThong,IdeaPad 320-15IKB
0.722826087,0.125,0.444444444,0.165745856,0.259574468,0.35,0.0625,0.160518118,VanPhong,XPS 13
0.630434783,0.03125,0.4,0.044198895,0.208510638,0.35,0.015625,0.031464174,PhoThong,Vivobook E200HA
0.847826087,0.125,0.694444444,0.674033149,0.531914894,0.6,0.5625,0.163797344,ChuyenNghiep,Legion Y520-15IKBN
0.847826087,0.0625,0.416666667,0.038674033,0.395744681,0.15,0.25,0.042302017,PhoThong,255 G6
0.722826087,0.125,0.444444444,0.165745856,0.344680851,0.35,0.125,0.134284309,VanPhong,Inspiron 5379
0.847826087,0.125,0.5,0.08839779,0.406382979,0.35,0.125,0.1080505,VanPhong,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)
0.847826087,0.0625,0.555555556,0.127071823,0.489361702,0.25,0.5,0.068640761,PhoThong,Inspiron 3567
0.722826087,0.125,0.444444444,0.138121547,0.287234043,0.35,0.0625,0.180193474,VanPhong,MacBook Air
0.847826087,0.125,0.444444444,0.17679558,0.468085106,0.35,0.125,0.131169044,PhoThong,Inspiron 5570
0.847826087,0.125,0.527777778,0.165745856,0.4,0.7,0.25,0.212821774,VanPhong,Latitude 5590
0.940217391,0.125,0.444444444,0.254143646,0.531914894,0.25,0.5,0.146909329,PhoThong,ProBook 470
0.847826087,0.0625,0.4,0.127071823,0.40212766,0.35,0.03125,0.04016888,PhoThong,LapBook 15.6
0.760869565,0.03125,0.416666667,0.038674033,0.35106383,0.35,0.015625,0.0326283,PhoThong,E402WA-GA010T (E2-6110/2GB/32GB/W10)
0.940217391,0.0625,0.694444444,0.17679558,0.576595745,0.15,0.25,0.071979013,PhoThong,17-ak001nv (A6-9220/4GB/500GB/Radeon
0.722826087,0.25,0.5,0.165745856,0.255319149,0.5,0.25,0.306443679,VanPhong,XPS 13
0.722826087,0.125,0.444444444,0.138121547,0.287234043,0.35,0.125,0.163633383,VanPhong,MacBook Air
0.760869565,0.0625,0.305555556,0.055248619,0.306382979,0.35,0.03125,0.040826365,PhoThong,IdeaPad 120S-14IAP
0.847826087,0.0625,0.75,0.08839779,0.446808511,0.25,0.5,0.060173799,PhoThong,Aspire 3
0.940217391,0.125,0.444444444,0.17679558,0.595744681,0.6,0.5625,0.160518118,PhoThong,Inspiron 5770
0.847826087,0.0625,0.694444444,0.08839779,0.395744681,0.25,0.5,0.08012625,PhoThong,250 G6
0.847826087,0.125,0.444444444,0.254143646,0.446808511,0.35,0.125,0.144121987,PhoThong,ProBook 450
0.847826087,0.0625,0.555555556,0.08839779,0.425531915,0.25,0.5,0.063780948,PhoThong,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)
0.847826087,0.25,0.777777778,0.82320442,0.563829787,0.6,0.625,0.245777996,ChuyenNghiep,Inspiron 7577
0.847826087,0.125,0.694444444,0.209944751,0.489361702,0.25,0.5,0.085750123,PhoThong,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce
0.847826087,0.0625,0.444444444,0.165745856,0.468085106,0.35,0.125,0.11182161,PhoThong,Aspire A515-51G
0.940217391,0.1875,0.444444444,0.325966851,0.589361702,0.25,0.5,0.163797344,VanPhong,Inspiron 7773
0.722826087,0.125,0.555555556,0.193370166,0.291489362,0.35,0.125,0.232661092,ChuyenNghiep,MacBook Pro
0.847826087,0.0625,0.555555556,0.127071823,0.468085106,0.35,0.0625,0.060501722,PhoThong,IdeaPad 320-15ISK
0.940217391,0.125,0.833333333,0.596685083,0.680851064,0.6,0.625,0.212985735,ChuyenNghiep,Rog Strix
0.847826087,0.0625,0.694444444,0.149171271,0.489361702,0.35,0.125,0.104771274,PhoThong,Inspiron 3567
0.940217391,0.0625,0.305555556,0.198895028,0.595744681,0.25,0.5,0.076405968,PhoThong,X751NV-TY001T (N4200/4GB/1TB/GeForce
0.548913043,0.0625,0.4,0.044198895,0.146808511,0.35,0.03125,0.052303656,VanPhong,Yoga Book
