Brand,Model,Benchmark
Nvidia,Titan RTX,167
Nvidia,NVidia Titan RTX 24GB,167
Nvidia,Quadro RTX 8000,163
Nvidia,Quadro RTX 6000,158
Nvidia,RTX 2080-Ti,157
Nvidia,Titan V,151
Nvidia,Titan Xp,130
Nvidia,RTX 2080S (Super),128
Nvidia,GTX 1080-Ti,127
Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,127
Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,127
Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,127
Nvidia,Quadro RTX 5000,126
Nvidia,Quadro P6000,121
Nvidia,RTX 2080,121
Nvidia,Titan X Pascal,119
Nvidia,NVidia Titan X Pascal 12GB,119
AMD,RX 5700-XT,115
AMD,PowerColor RX 5700 XT 8GB,115
AMD,Sapphire RX 5700 XT 8GB,115
AMD,XFX RX 5700 XT 8GB,115
AMD,MSI RX 5700 XT 8GB Gaming,115
AMD,Asus RX 5700 XT 8GB,115
AMD,Gigabyte RX 5700 XT 8GB,115
AMD,RX 5700XT 50th Anniversary,114
Nvidia,RTX 2070S (Super),112
AMD,Radeon-VII,109
AMD,Sapphire Radeon VII 16GB,109
AMD,Asus Radeon VII 16GB,109
Nvidia,Quadro GP100,103
Nvidia,RTX 2070,101
Nvidia,GTX 1080,99.9
Nvidia,MSI GTX 1080 8GB Founders Edition,99.9
Nvidia,Zotac GTX 1080 8GB Founders Edition,99.9
Nvidia,Gigabyte GTX 1080 8GB Founders Edition,99.9
AMD,RX Vega-64LC (Liquid Cooled),98.1
AMD,Gigabyte RX Vega 64 8GB LC,98.1
AMD,Sapphire RX Vega 64 8GB LC,98.1
AMD,XFX RX Vega 64 8GB LC,98.1
Nvidia,RTX 2060S (Super),98
AMD,RX 5700,95.9
AMD,PowerColor RX 5700 8GB,95.9
AMD,Sapphire RX 5700 8GB,95.9
AMD,XFX RX 5700 8GB,95.9
AMD,MSI RX 5700 8GB,95.9
Nvidia,Quadro RTX 4000,94.1
AMD,RX Vega-64,92.5
AMD,Gigabyte RX Vega 64 8GB,92.5
AMD,XFX RX Vega 64 8GB,92.5
AMD,Sapphire RX Vega 64 8GB,92.5
Nvidia,Quadro P5000,92
Nvidia,GTX 1070-Ti,91.5
AMD,Vega Frontier Edition,90.7
AMD,Radeon Vega Frontier Edition Air,90.7
Nvidia,RTX 2080 (Mobile Max-Q),88
Nvidia,RTX 2060,85.7
Nvidia,GTX 1080 (Mobile),85.2
AMD,RX Vega-56,83.8
AMD,Sapphire RX Vega 56 8GB,83.8
AMD,XFX RX Vega 56 8GB,83.8
AMD,Gigabyte RX Vega 56 8GB,83.8
Nvidia,GTX 1070,78.6
Nvidia,ZOTAC GTX 1070 8GB Founders Edition ,78.6
Nvidia,PNY GTX 1070 8GB Founders Edition,78.6
Nvidia,Gigabyte GTX 1070 8GB Founders Edition,78.6
Nvidia,MSI GTX 1070 Founders Edition,78.6
Nvidia,GTX 980-Ti,78.4
Nvidia,RTX 2070 (Mobile Max-Q),76.7
Nvidia,GTX Titan X,75.4
Nvidia,GTX 1660-Ti,73.9
Nvidia,Quadro M6000,72.3
Nvidia,Quadro M6000 24GB,71.4
Nvidia,GTX 1070 (Mobile),68.7
Nvidia,Quadro P4000,68.2
Nvidia,GTX 1080 (Mobile Max-Q),67.5
Nvidia,GTX 1660,65.9
Nvidia,Quadro P5000-M (Mobile),65.3
AMD,R9 Fury-X,63.6
AMD,XFX R9 FURY X 4GB,63.6
AMD,Sapphire R9 Fury X 4GB ,63.6
AMD,Gigabyte R9 Fury X 4GB,63.6
