id,name,manhinh,cpu,ram,loaibonho,dungluongbonho,gpu,trongluong,gia,class
4970,ProBook 450,15.6,Intel Core i7 7500U 2.7GHz,8,SSD,256,Intel HD Graphics 620,2.04,1070,VanPhong
4971,Rog G752VL-GC088D,17.3,Intel Core i7 6700HQ 2.6GHz,16,HDD,1024,Nvidia GeForce GTX 965M,4,998,PhoThong
4727,Chromebook 11,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,Flash Storage,16,Intel HD Graphics 400,1.23,385,PhoThong
4969,GT62VR 6RD,15.6,Intel Core i7 6700HQ 2.6GHz,16,SSD+HDD,1280,Nvidia GeForce GTX 1060,2.94,1819,ChuyenNghiep
4728,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1152,Nvidia GeForce GTX 1060,4.36,2505.02,ChuyenNghiep
4729,Latitude 3480,14,Intel Core i5 6200U 2.3GHz,4,HDD,500,Intel HD Graphics 520,1.76,755,PhoThong
4961,Noteb Pav,15.6,Intel Core i7 7500U 2.7GHz,8,HDD,1024,Nvidia GeForce 940MX,1.91,979,PhoThong
4720,Omen 17-an012dx,17.3,Intel Core i7 7700HQ 2.8GHz,12,HDD,1024,AMD Radeon RX 580,3.74,1749,PhoThong
4962,Inspiron 5578,15.6,Intel Core i5 7200U 2.7GHz,8,SSD,256,Intel HD Graphics 620,2.3,1094,VanPhong
4721,GE72MVR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16,SSD+HDD,1536,Nvidia GeForce GTX 1070,2.9,2415,ChuyenNghiep
4963,ProBook 450,15.6,Intel Core i5 7200U 2.5GHz,4,SSD,256,Intel HD Graphics 620,2.04,979,VanPhong
4722,Notebook 9,13.3,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,0.81,1499,VanPhong
4964,XPS 13,13.3,Intel Core i7 7500U 2.7GHz,16,SSD,1024,Intel HD Graphics 620,1.2,2254,VanPhong
4723,Vostro 5568,15.6,Intel Core i7 7500U 2.7GHz,8,HDD,1024,Nvidia GeForce GT 940MX,1.98,961,PhoThong
4965,ProBook 650,15.6,Intel Core i3 6100U 2.3GHz,4,HDD,500,Intel HD Graphics 520,2.31,705.15,PhoThong
4724,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,8,SSD,256,AMD Radeon R5 M420,2.18,789.81,VanPhong
4966,250 G5,15.6,Intel Core i5 7200U 2.5GHz,4,HDD,500,Intel HD Graphics 620,1.96,499,PhoThong
4725,Thinkpad T470s,14,Intel Core i7 7500U 2.7GHz,8,SSD,256,Intel HD Graphics 620,1.32,1859,VanPhong
4967,Aspire ES1-523,15.6,AMD A8-Series 7410 2.2GHz,8,HDD,1024,AMD Radeon R5,2.4,449,PhoThong
4726,Blade Stealth,12.5,Intel Core i7 7500U 2.5GHz,16,SSD,512,Intel HD Graphics 620,1.29,1799,VanPhong
4968,Inspiron 7378,13.3,Intel Core i7 7500U 2.7GHz,12,SSD,256,Intel HD Graphics 620,1.6,1299,VanPhong
4980,Latitude 3570,15.6,Intel Core i3 6100U 2.3GHz,4,HDD,500,Intel HD Graphics 520,2.06,481.98,PhoThong
4981,ProBook 650,15.6,Intel Core i5 6200U 2.3GHz,4,HDD,500,Intel HD Graphics 520,2.31,1199,PhoThong
4740,Blade Pro,17.3,Intel Core i7 7820HK 2.9GHz,32,SSD,512,Nvidia GeForce GTX 1080,3.49,5499,ChuyenNghiep
4982,EliteBook 820,12.5,Intel Core i5 6200U 2.3GHz,8,SSD,256,Intel HD Graphics 520,1.26,1199,VanPhong
4738,Chromebook 11,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,Flash Storage,32,Intel HD Graphics 400,1.35,355,PhoThong
4739,Swift 3,14,Intel Core i3 7100U 2.4GHz,8,SSD,128,Intel HD Graphics 620,1.5,619,VanPhong
4730,V110-15ISK (i3-6006U/4GB/500GB/W10),15.6,Intel Core i3 6006U 2GHz,4,HDD,500,Intel HD Graphics 520,2.1,489.9,PhoThong
4972,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4,HDD,1024,Intel HD Graphics,2.25,559,PhoThong
4731,Tecra X40-D-10Z,14,Intel Core i5 7200U 2.5GHz,4,SSD,128,Intel HD Graphics 620,1.25,1090,VanPhong
4973,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16,HDD,2048,AMD Radeon R7 M445,2.32,989.99,PhoThong
