"idvalueMapping","type","name","value","realvalue"
2101,gpu,Intel Iris Plus Graphics 640,0.226519337,40
2102,gpu,Intel HD Graphics 6000,0.138121547,25
2103,gpu,Intel HD Graphics 620,0.08839779,15
2104,gpu,AMD Radeon Pro 455,0.552486188,100
2105,gpu,Intel Iris Plus Graphics 650,0.226519337,40
2106,gpu,AMD Radeon R5,0.132596685,23
2107,gpu,Intel Iris Pro Graphics,0.226519337,40
2108,gpu,Nvidia GeForce MX150,0.325966851,59
2109,gpu,Intel UHD Graphics 620,0.165745856,29
2110,gpu,Intel HD Graphics 520,0.127071823,22
2111,gpu,AMD Radeon Pro 555,0.430939227,78
2112,gpu,AMD Radeon R5 M430,0.149171271,27
2113,gpu,Intel HD Graphics 615,0.132596685,23
2114,gpu,AMD Radeon Pro 560,0.480662983,86
2115,gpu,Nvidia GeForce 940MX,0.209944751,37
2116,gpu,Intel HD Graphics 400,0.044198895,7
2117,gpu,Nvidia GeForce GTX 1050,0.674033149,121
2118,gpu,AMD Radeon R2,0.038674033,6
2119,gpu,AMD Radeon 530,0.17679558,31
2120,gpu,Nvidia GeForce 930MX,0.254143646,45
2121,gpu,Intel HD Graphics,0.127071823,22
2122,gpu,Intel HD Graphics 500,0.055248619,10
2123,gpu,Nvidia GeForce 930MX ,0.254143646,45
2124,gpu,Nvidia GeForce GTX 1060,0.82320442,149
2125,gpu,Nvidia GeForce 150MX,0.325966851,59
2126,gpu,Intel Iris Graphics 540,0.193370166,35
2127,gpu,AMD Radeon RX 580,0.596685083,108
2128,gpu,Nvidia GeForce 920MX,0.198895028,36
2129,gpu,AMD Radeon R4 Graphics,0.077348066,13
2130,gpu,AMD Radeon 520,0.160220994,28
2131,gpu,Nvidia GeForce GTX 1070,0.878453039,159
2132,gpu,Nvidia GeForce GTX 1050 Ti,0.331491713,60
2133,gpu,Nvidia GeForce MX130,0.303867403,54
2134,gpu,AMD R4 Graphics,0.077348066,13
2135,gpu,Nvidia GeForce GTX 940MX,0.209944751,37
2136,gpu,AMD Radeon RX 560,0.546961326,99
2137,gpu,Nvidia GeForce 920M,0.082872928,14
2138,gpu,AMD Radeon R7 M445,0.254143646,45
2139,gpu,AMD Radeon RX 550,0.535911602,96
2140,gpu,Nvidia GeForce GTX 1050M,0.674033149,121
2141,gpu,Intel HD Graphics 515,0.099447514,18
2142,gpu,AMD Radeon R5 M420,0.149171271,27
2143,gpu,Intel HD Graphics 505,0.060773481,11
2144,gpu,Nvidia GTX 980 SLI,0.73480663,133
2145,gpu,AMD R17M-M1-70,0.193370166,35
2146,gpu,Nvidia GeForce GTX 1080,0.944751381,170
2147,gpu,Nvidia Quadro M1200,0.624309392,112
2148,gpu,Nvidia GeForce 920MX ,0.198895028,36
2149,gpu,Nvidia GeForce GTX 950M,0.497237569,89
2150,gpu,AMD FirePro W4190M ,0.270718232,48
2151,gpu,Nvidia GeForce GTX 980M,0.845303867,152
2152,gpu,Intel Iris Graphics 550,0.165745856,29
2153,gpu,Nvidia GeForce 930M,0.248618785,45
2154,gpu,Intel HD Graphics 630,0.259668508,46
2155,gpu,AMD Radeon R5 430,0.149171271,27
2156,gpu,Nvidia GeForce GTX 940M,0.287292818,52
2157,gpu,Intel HD Graphics 510,0.143646409,26
2158,gpu,Intel HD Graphics 405,0.093922652,17
2159,gpu,AMD Radeon RX 540,0.447513812,80
2160,gpu,Nvidia GeForce GT 940MX,0.187845304,34
2161,gpu,AMD FirePro W5130M,0.348066298,62
2162,gpu,Nvidia Quadro M2200M,0.635359116,114
2163,gpu,AMD Radeon R4,0.077348066,13
2164,gpu,Nvidia Quadro M620,0.585635359,105
2165,gpu,AMD Radeon R7 M460,0.209944751,37
2166,gpu,Intel HD Graphics 530,0.171270718,30
2167,gpu,Nvidia GeForce GTX 965M,0.386740331,69
2168,gpu,Nvidia GeForce GTX1080,1,181
2169,gpu,Nvidia GeForce GTX1050 Ti,0.674033149,121
2170,gpu,Nvidia GeForce GTX 960M,0.375690608,68
2171,gpu,AMD Radeon R2 Graphics,0.038674033,6
2172,gpu,Nvidia Quadro M620M,0.585635359,105
2173,gpu,Nvidia GeForce GTX 970M,0.53038674,95
2174,gpu,Nvidia GeForce GTX 960<U+039C>,0.375690608,68
2175,gpu,Intel Graphics 620,0.232044199,42
2176,gpu,Nvidia GeForce GTX 960,0.375690608,68
2177,gpu,AMD Radeon R5 520,0.149171271,27
2178,gpu,AMD Radeon R7 M440,0.187845304,34
2179,gpu,AMD Radeon R7,0.187845304,34
2180,gpu,Nvidia Quadro M520M,0.419889503,76
2181,gpu,Nvidia Quadro M2200,0.635359116,114
2182,gpu,Nvidia Quadro M2000M,0.552486188,100
2183,gpu,Intel HD Graphics 540,0.138121547,25
2184,gpu,Nvidia Quadro M1000M,0.348066298,62
2185,gpu,AMD Radeon 540,0.491712707,88
2186,gpu,Nvidia GeForce GTX 1070M,0.878453039,159
2187,gpu,Nvidia GeForce GTX1060,0.723756906,130
2188,gpu,Intel HD Graphics 5300,0.160220994,28
2189,gpu,AMD Radeon R5 M420X,0.149171271,27
2190,gpu,AMD Radeon R7 Graphics,0.430939227,78
2191,gpu,Nvidia GeForce 920,0.370165746,67
2192,gpu,Nvidia GeForce 940M,0.314917127,56
2193,gpu,Nvidia GeForce GTX 930MX,0.215469613,38
2194,gpu,AMD Radeon R7 M465,0.430939227,78
2195,gpu,AMD Radeon R3,0.138121547,25
2196,gpu,Nvidia GeForce GTX 1050Ti,0.674033149,121
2197,gpu,AMD Radeon R7 M365X,0.430939227,78
2198,gpu,AMD Radeon R9 M385,0.436464088,78
2199,gpu,Intel HD Graphics 620 ,0.08839779,15
2200,gpu,Nvidia Quadro 3000M,0.574585635,103
2201,gpu,Nvidia GeForce GTX 980 ,0.55801105,101
2202,gpu,AMD Radeon R5 M330,0.149171271,27
2203,gpu,AMD FirePro W4190M,0.270718232,48
2204,gpu,AMD FirePro W6150M,0.685082873,124
2205,gpu,AMD Radeon R5 M315,0.149171271,27
2206,gpu,Nvidia Quadro M500M,0.26519337,47
2207,gpu,AMD Radeon R7 M360,0.314917127,56
2208,gpu,Nvidia Quadro M3000M,0.640883978,116
2209,gpu,Nvidia GeForce 960M,0.375690608,68
2210,gpu,ARM Mali T860 MP4,0.127071823,22
2327,loaibonho,Flash Storage,0.4,
2328,loaibonho,HDD,0.2,
2329,loaibonho,SSD,0.8,
2330,loaibonho,Hybrid,0.6,
2331,loaibonho,SSD+HDD,1,
2332,class,VanPhong,2,
2333,class,ChuyenNghiep,0,
2334,class,PhoThong,1,
2335,gpu,"",0,0
2336,cpu,Intel Core i5 2.3GHz,0.6877579092159559,50
2337,cpu,Intel Core i5 1.8GHz,0.5598349381017882,40.7
2338,cpu,Intel Core i5 7200U 2.5GHz,0.6286107290233838,45.7
2339,cpu,Intel Core i7 2.7GHz,0.7977991746905089,58
2340,cpu,Intel Core i5 3.1GHz,0.7303988995873453,53.1
2341,cpu,AMD A9-Series 9420 3GHz,0.3631361760660247,26.4
2342,cpu,Intel Core i7 2.2GHz,1,72.7
2343,cpu,Intel Core i5 1.8GHz,0.5020632737276478,36.5
2344,cpu,Intel Core i7 8550U 1.8GHz,0.8088033012379642,58.8
2345,cpu,Intel Core i5 8250U 1.6GHz,0.7826685006877578,56.9
2346,cpu,Intel Core i3 6006U 2GHz,0.4195323246217331,30.5
2347,cpu,Intel Core i7 2.8GHz,0.8321870701513067,60.5
2348,cpu,Intel Core M m3 1.2GHz,0.4896836313617607,35.6
2349,cpu,Intel Core i5 2.3GHz,0.7303988995873453,53.1
2350,cpu,Intel Core i7 7500U 2.7GHz,0.6973865199449794,50.7
2351,cpu,Intel Core i7 2.9GHz,0.8321870701513067,60.5
2352,cpu,Intel Core i3 7100U 2.4GHz,0.5034387895460798,36.6
2353,cpu,Intel Atom x5-Z8350 1.44GHz,0.17881705639614856,13
2354,cpu,Intel Core i5 7300HQ 2.5GHz,0.7991746905089409,58.1
2355,cpu,AMD E-Series E2-9000e 1.5GHz,0.18019257221458046,13.1
2356,cpu,Intel Core i5 1.6GHz,0.5020632737276478,36.5
2357,cpu,Intel Core i7 8650U 1.9GHz,0.8514442916093534,61.9
2358,cpu,Intel Atom x5-Z8300 1.44GHz,0.17193947730398898,12.5
2359,cpu,AMD E-Series E2-6110 1.5GHz,0.2585969738651995,18.8
2360,cpu,AMD A6-Series 9220 2.5GHz,0.29848693259972486,21.7
2361,cpu,Intel Celeron Dual Core N3350 1.1GHz,0.2902338376891334,21.1
2362,cpu,Intel Core i3 7130U 2.7GHz,0.5735900962861074,41.7
2363,cpu,Intel Core i7 7700HQ 2.8GHz,0.8321870701513067,60.5
2364,cpu,Intel Core i5 2.0GHz,0.6189821182943603,45
2365,cpu,AMD Ryzen 1700 3GHz,0.9463548830811553,68.8
2366,cpu,Intel Pentium Quad Core N4200 1.1GHz,0.405777166437414,29.5
2367,cpu,Intel Atom x5-Z8550 1.44GHz,0.25309491059147177,18.4
2368,cpu,Intel Celeron Dual Core N3060 1.6GHz,0.1733149931224209,12.6
